date,player,stat,line,model_mean,model_p25,model_p75,edge,direction,result,actual
2026-03-29,Ty Jerome,Points,21.5,13.16,12.86,13.66,-8.34,UNDER,,
2026-03-29,Josh Giddey,Points,17.5,9.89,9.48,10.64,-7.61,UNDER,,
2026-03-29,Josh Giddey,Assists,11.5,4.08,3.89,4.26,-7.42,UNDER,,
2026-03-28,Ty Jerome,Points,20.5,13.41,13.02,13.92,-7.09,UNDER,,
2026-03-28,Josh Giddey,Points,17.5,9.96,9.56,10.67,-7.54,UNDER,,
2026-03-28,Josh Giddey,Assists,11.5,4.1,3.89,4.31,-7.4,UNDER,,
2026-03-28,Precious Achiuwa,Points,13.0,5.51,5.3,5.92,-7.49,UNDER,,
2026-03-28,DeMar DeRozan,Points,17.5,10.98,10.87,11.25,-6.52,UNDER,,
2026-03-28,Bones Hyland,Points,12.5,6.49,6.17,7.03,-6.01,UNDER,,
2026-03-28,Paul George,Points,15.5,21.31,21.11,21.93,5.81,OVER,,
2026-03-28,Joel Embiid,Points,26.5,32.29,32.14,32.59,5.79,OVER,,
2026-03-28,Josh Giddey,Rebounds,9.5,4.42,4.29,4.52,-5.08,UNDER,,
2026-03-28,Malik Monk,Points,15.0,19.97,19.88,20.32,4.97,OVER,,
2026-03-28,Taurean Prince,Points,8.5,13.46,13.1,13.77,4.96,OVER,,
